Code,Laterality,Contrast,XR#Views,description,modality,bodyRegion
RM00861,N/A,N/A,1,IR VISCERAL ARTERY PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00862,N/A,N/A,1,IR ENDOVENOUS LASER ABLATION,IR,LOWER EXTREMITY
RM00863,N/A,N/A,1,IR ENDOVENOUS LASER ABLATION ADDITIONAL AREA,IR,LOWER EXTREMITY
RM00864,N/A,N/A,1,"IR ARTERY EMBOLIZATION WITH IMAGING GUIDANCE EXCLUDING (TRAUMA, TUMOR)",IR,UNCLASSIFIED
RM00865,N/A,N/A,1,"IR ARTERY STENT PLACEMENT WITH IMAGING GUIDANCE EXCLUDING (ILIAC, FEM-POP, TIBIAL) EACH ADDITIONAL VESSEL",IR,TIB FIB/FEMUR
RM00866,N/A,N/A,1,"IR ARTERY STENT PLACEMENT WITH IMAGING GUIDANCE EXCLUDING (ILIAC, FEM-POP, TIBIAL)",IR,TIB FIB/FEMUR
RM00867,N/A,N/A,1,IR ARTERY MECHANICAL THROMBECTOMY WUTH IMAGING GUIDANCE ADDITIONAL PROCEDURE,IR,UNCLASSIFIED
RM00868,N/A,N/A,1,IR ARTERY MECHANICAL THROMBECTOMY WITH IMAGING GUIDANCE ADDITIONAL VESSEL SAME FAMILY,IR,UNCLASSIFIED
RM00869,N/A,N/A,1,IR ARTERY MECHANICAL THROMBECTOMY WUTH IMAGING GUIDANCE INITIAL VESSEL,IR,UNCLASSIFIED
RM00870,N/A,N/A,1,IR BLEEDING VESSEL EMBOLIZATION WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00871,N/A,N/A,1,IR VEIN EMBOLIZATION/SCLEROTHERAPY NON-BLEEDING WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00872,N/A,N/A,1,IR VESSEL FOREIGN BODY RETRIEVAL WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00873,N/A,N/A,1,IR VEIN THROMBOLYTIC INFUSION WITH IMAGING GUIDANCE INITIAL DAY,IR,UNCLASSIFIED
RM00874,N/A,N/A,1,IR VEIN PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00875,N/A,N/A,1,IR VEIN SAMPLING,IR,UNCLASSIFIED
RM00876,N/A,N/A,1,IR VEIN STENT/COVERED STENT PLACEMENT WITH IMAGING GUIDANCE EACH ADDITIONAL VESSEL,IR,UNCLASSIFIED
RM00877,N/A,N/A,1,IR VEIN STENT/COVERED STENT PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00878,N/A,N/A,1,IR VEIN MECHANICAL THROMBECTOMY WITH IMAGING GUIDANCE ADDITIONAL DAY,IR,UNCLASSIFIED
RM00879,N/A,N/A,1,IR VEIN MECHANICAL THROMBECTOMY WITH IMAGING GUIDANCE INITIAL DAY,IR,UNCLASSIFIED
RM00880,N/A,N/A,1,IR VERTEBROPLASTY WITH IMAGING GUIDANCE EACH ADDITIONAL LEVEL,IR,LUMBAR SPINE
RM00881,N/A,N/A,1,IR WIRE PLACEMENT WITH IMAGING GUIDANCE,IR,UNCLASSIFIED
RM00882,N/A,N/A,1,IR WIRE PLACEMENT WITH IMAGING GUIDANCE ADDITIONAL,IR,UNCLASSIFIED
RM00883,N/A,N/A,1,IR TRANSURETHRAL NEPHROURETERAL STENT REMOVAL WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00884,N/A,N/A,1,IR TRANSURETHRAL NEPHROURETERAL STENT EXCHANGE WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00885,N/A,N/A,1,IR TRANSHEPATIC TUBE REVISION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00886,N/A,N/A,1,IR TIPS EXCLUDING EMBOLIZATION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00887,N/A,N/A,1,IR TIPS REVISION WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00888,N/A,N/A,1,IR THYROID BIOPSY FINE NEEDLE WITH IMAGING GUIDANCE,IR,NECK
RM00889,N/A,N/A,1,IR NEPHROSTOMY EXCHANGE WITH IMAGING GUIDANCE,IR,ABDOMEN
RM00890,N/A,N/A,1,US ABDOMEN,US,ABDOMEN
RM00891,N/A,N/A,1,US ABDOMEN LIMITED,US,ABDOMEN
RM00892,N/A,N/A,1,US CHEST AXILLA,US,BREAST/CHEST
RM00893,LEFT,N/A,1,US CHEST AXILLA LEFT,US,BREAST/CHEST
RM00894,RIGHT,N/A,1,US CHEST AXILLA RIGHT,US,BREAST/CHEST
RM00895,BILATERAL,N/A,1,US CHEST AXILLA BILATERAL,US,BREAST/CHEST
RM00896,N/A,N/A,1,US BREAST,US,BREAST
RM00897,N/A,N/A,1,US CHEST,US,CHEST
RM00898,N/A,N/A,1,US PREGNANCY FOLLOW UP,US,OB
RM00899,N/A,N/A,1,US PREGNANCY 2ND/3RD TRIMESTER,US,OB
RM00900,N/A,N/A,1,US PREGNANCY 2ND/3RD TRIMESTER ADDITIONAL,US,OB
RM00901,N/A,N/A,1,US PREGNANCY 1ST TRIMESTER TRANSABDOMINAL TRANSVAGINAL,US,OB
RM00902,N/A,N/A,1,US PREGNANCY 1ST TRIMESTER ADDITIONAL,US,OB
RM00903,N/A,N/A,1,US PREGNANCY LIMITED,US,OB
RM00904,N/A,N/A,1,US PREGNANCY TRANSVAGINAL,US,OB
RM00905,N/A,N/A,1,US PELVIS,US,PELVIS
RM00906,N/A,N/A,1,US PELVIS LIMITED,US,PELVIS
RM00907,N/A,N/A,1,US SCROTUM,US,PELVIS
RM00908,LEFT,N/A,1,US SCROTUM LEFT,US,PELVIS
RM00909,RIGHT,N/A,1,US SCROTUM RIGHT,US,PELVIS
RM00910,BILATERAL,N/A,1,US SCROTUM BILATERAL,US,PELVIS
RM00911,N/A,N/A,1,US PELVIS TRANSVAGINAL,US,PELVIS
RM00912,N/A,N/A,1,US PELVIS APPENDIX,US,PELVIS
RM00913,N/A,N/A,1,US PELVIS BLADDER,US,PELVIS
RM00914,BILATERAL,N/A,1,US BREAST BILATERAL,US,BREAST
RM00915,LEFT,N/A,1,US BREAST LEFT,US,BREAST
RM00916,RIGHT,N/A,1,US BREAST RIGHT,US,BREAST
RM00917,N/A,N/A,1,US GALLBLADDER,US,ABDOMEN
RM00918,N/A,N/A,1,US THYROID,US,NECK
RM00919,N/A,N/A,1,US PROSTATE TRANSRECTAL,US,PELVIS
RM00920,N/A,N/A,1,US INTRAOPERATIVE,US,UNCLASSIFIED
RM00921,N/A,N/A,1,US RETROPERITONEUM,US,ABDOMEN
RM00922,N/A,N/A,1,US RETROPERITONEUM LIMITED,US,ABDOMEN
RM00923,N/A,N/A,1,US PENIS DOPPLER LIMITED,US,PELVIS
RM00924,N/A,N/A,1,US ABDOMEN LIMITED PANCREAS,US,ABDOMEN
RM00925,N/A,N/A,1,US GUIDANCE FOR NEEDLE PLACEMENT,US,UNCLASSIFIED
RM00926,N/A,N/A,1,US ABDOMEN DOPPLER,US,ABDOMEN
RM00927,N/A,N/A,1,US ABDOMEN DOPPLER LIMITED,US,ABDOMEN
RM00928,N/A,N/A,1,US ABDOMEN LIMITED SPLEEN,US,ABDOMEN
RM00929,N/A,N/A,1,US UPPER EXTREMITY SOFT TISSUE,US,UPPER EXTREMITY
RM00930,LEFT,N/A,1,US UPPER EXTREMITY SOFT TISSUE LEFT,US,UPPER EXTREMITY
RM00931,RIGHT,N/A,1,US UPPER EXTREMITY SOFT TISSUE RIGHT,US,UPPER EXTREMITY
RM00932,BILATERAL,N/A,1,US UPPER EXTREMITY SOFT TISSUE BILATERAL,US,UPPER EXTREMITY
RM00933,N/A,N/A,1,US INTRAOPERATIVE GUIDANCE,US,UNCLASSIFIED
RM00934,N/A,N/A,1,US LOWER EXTREMITY SOFT TISSUE,US,LOWER EXTREMITY
RM00935,LEFT,N/A,1,US LOWER EXTREMITY SOFT TISSUE LEFT,US,LOWER EXTREMITY
RM00936,RIGHT,N/A,1,US LOWER EXTREMITY SOFT TISSUE RIGHT,US,LOWER EXTREMITY
RM00937,BILATERAL,N/A,1,US LOWER EXTREMITY SOFT TISSUE BILATERAL,US,LOWER EXTREMITY
RM00938,N/A,N/A,1,US HEAD NECK SOFT TISSUE,US,HEAD/NECK
RM00939,N/A,N/A,1,US NECK PAROTID,US,NECK
RM00940,N/A,N/A,1,US PELVIS OVARY TORSION,US,PELVIS
RM00941,N/A,N/A,1,US NECK PARATHYROID,US,NECK
RM00942,N/A,N/A,1,US SCROTUM TESTICULAR TORSION,US,PELVIS
RM00943,LEFT,N/A,1,US SCROTUM TESTICULAR TORSION LEFT,US,PELVIS
RM00944,RIGHT,N/A,1,US SCROTUM TESTICULAR TORSION RIGHT,US,PELVIS
RM00945,BILATERAL,N/A,1,US SCROTUM TESTICULAR TORSION BILATERAL,US,PELVIS
RM00946,BILATERAL,N/A,1,US LOWER EXTREMITY ARTERIES BILATERAL,US,LOWER EXTREMITY
RM00947,BILATERAL,N/A,1,US UPPER EXTREMITY ARTERIES BILATERAL,US,LOWER EXTREMITY/UPPER EXTREMITY
RM00948,N/A,N/A,1,US HEAD DOPPLER,US,HEAD
RM00949,N/A,N/A,1,US HEAD DOPPLER LIMITED,US,HEAD
RM00950,N/A,N/A,1,US HEART,US,HEART
RM00951,N/A,N/A,1,US HEART DOPPLER,US,HEART
RM00952,N/A,N/A,1,US RETROPERITONEUM AORTA,US,ABDOMEN/CHEST
RM00953,N/A,N/A,1,US TENDON,US,UNCLASSIFIED
RM00954,N/A,N/A,1,US HEAD PEDIATRIC,US,HEAD
RM00955,N/A,N/A,1,US SPINE PEDIATRIC,US,LUMBAR SPINE
RM00956,N/A,N/A,1,US PELVIS HYSTEROSONOGRAPHY DOPPLER,US,PELVIS
RM00957,N/A,N/A,1,US ABDOMEN LIMITED LIVER,US,ABDOMEN
RM00958,N/A,N/A,1,US HEAD DOPPLER LIMITED NEONATAL,US,HEAD
RM00959,LEFT,N/A,1,US BREAST ASPIRATION CYST WITH GUIDANCE LEFT,US,BREAST
RM00960,RIGHT,N/A,1,US BREAST ASPIRATION CYST WITH GUIDANCE RIGHT,US,BREAST
RM00961,N/A,N/A,1,US RETRO GUIDE BX,US,UNCLASSIFIED
RM00962,N/A,N/A,1,US LOWER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP,US,LOWER EXTREMITY
RM00963,LEFT,N/A,1,US LOWER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP LEFT,US,LOWER EXTREMITY
RM00964,RIGHT,N/A,1,US LOWER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP RIGHT,US,LOWER EXTREMITY
RM00965,BILATERAL,N/A,1,US LOWER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP BILATERAL,US,LOWER EXTREMITY
RM00966,N/A,N/A,1,US UPPER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP,US,LOWER EXTREMITY/UPPER EXTREMITY
RM00967,LEFT,N/A,1,US UPPER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP LEFT,US,LOWER EXTREMITY/UPPER EXTREMITY
RM00968,RIGHT,N/A,1,US UPPER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP RIGHT,US,LOWER EXTREMITY/UPPER EXTREMITY
RM00969,BILATERAL,N/A,1,US UPPER EXTREMITY VEINS LIMITED/UNILATERAL/FOLLOW UP BILATERAL,US,LOWER EXTREMITY/UPPER EXTREMITY
RM00970,N/A,N/A,1,US ELBOW INJECTION,US,ELBOW
RM00971,LEFT,N/A,1,US ELBOW INJECTION LEFT,US,ELBOW
RM00972,RIGHT,N/A,1,US ELBOW INJECTION RIGHT,US,ELBOW
RM00973,BILATERAL,N/A,1,US ELBOW INJECTION BILATERAL,US,ELBOW
RM00974,N/A,N/A,1,US PREGNANCY MCA DOPPLER,US,OB
RM00975,N/A,N/A,1,US PREGNANCY UMBILICAL ARTERY DOPPLER,US,OB
RM00976,N/A,N/A,1,US PREGNANCY ABNORMAL ADDITIONAL,US,OB
RM00977,N/A,N/A,1,US PREGNANCY ABNORMAL,US,OB
RM00978,N/A,N/A,1,US PREGNANCY FOLLOW UP ADDITIONAL,US,OB
RM00979,N/A,N/A,1,US PREGNANCY MULTI 1ST TRIMESTER TRANSABDOMINAL TRANSVAGINAL,US,OB
RM00980,N/A,N/A,1,US PREGNANCY MULTI ABNORMAL,US,OB
RM00981,LEFT,N/A,1,US BREAST ASPIRATION CYST ADDITIONAL WITH GUIDANCE LEFT,US,BREAST
RM00982,RIGHT,N/A,1,US BREAST ASPIRATION CYST ADDITIONAL WITH GUIDANCE RIGHT,US,BREAST
RM00983,N/A,N/A,1,US PREGNANCY MULTI 2ND/3RD TRIMESTER,US,OB
RM00984,N/A,N/A,1,US PREGNANCY 1ST TRIMESTER,US,OB
RM00985,BILATERAL,N/A,1,US HIP PEDIATRIC LIMITED BILATERAL MANIPULATION,US,HIP
RM00986,N/A,N/A,1,US HEART DOPPLER VELOCITY ED,US,HEART
RM00987,N/A,N/A,1,US LOWER EXTREMITY ARTERIES LIMITED/UNILATERAL/FOLLOW UP,US,LOWER EXTREMITY
RM00988,LEFT,N/A,1,US LOWER EXTREMITY ARTERIES LIMITED/UNILATERAL/FOLLOW UP LEFT,US,LOWER EXTREMITY
RM00989,RIGHT,N/A,1,US LOWER EXTREMITY ARTERIES LIMITED/UNILATERAL/FOLLOW UP RIGHT,US,LOWER EXTREMITY
RM00990,BILATERAL,N/A,1,US LOWER EXTREMITY ARTERIES LIMITED/UNILATERAL/FOLLOW UP BILATERAL,US,LOWER EXTREMITY
RM00991,N/A,N/A,1,US BREAST GUIDANCE FOR NEEDLE PLACEMENT,US,BREAST
RM00992,LEFT,N/A,1,US BREAST GUIDANCE FOR NEEDLE PLACEMENT LEFT,US,BREAST
RM00993,RIGHT,N/A,1,US BREAST GUIDANCE FOR NEEDLE PLACEMENT RIGHT,US,BREAST
RM00994,BILATERAL,N/A,1,US BREAST GUIDANCE FOR NEEDLE PLACEMENT BILATERAL,US,BREAST
RM00995,N/A,N/A,1,US PREGNANCY DOPPLER,US,OB
RM00996,N/A,N/A,1,US PENIS SOFT TISSUE,US,PELVIS
RM00997,BILATERAL,N/A,1,US LOWER EXTREMITY VEINS BILATERAL,US,LOWER EXTREMITY
RM00998,BILATERAL,N/A,1,US UPPER EXTREMITY VEINS BILATERAL,US,LOWER EXTREMITY/UPPER EXTREMITY
RM00999,N/A,N/A,1,US ABDOMEN WALL,US,ABDOMEN
RM01000,N/A,N/A,1,US AORTA ILIAC VESSELS DOPPLER,US,CHEST/LOWER EXTREMITY
RM01001,N/A,N/A,1,US AORTA ILIAC VESSELS DOPPLER LIMITED/FOLLOW UP,US,CHEST/LOWER EXTREMITY
RM01002,LEFT,N/A,1,US BREAST BIOPSY VACUUM WITH GUIDANCE LEFT,US,BREAST
RM01003,RIGHT,N/A,1,US BREAST BIOPSY VACUUM WITH GUIDANCE RIGHT,US,BREAST
RM01004,LEFT,N/A,1,US BREAST BIOPSY NEEDLE CORE WITH GUIDANCE LEFT,US,BREAST
RM01005,RIGHT,N/A,1,US BREAST BIOPSY NEEDLE CORE WITH GUIDANCE RIGHT,US,BREAST
RM01006,N/A,N/A,1,US CARPAL TUNNEL INJECTION,US,WRIST
RM01007,LEFT,N/A,1,US CARPAL TUNNEL INJECTION LEFT,US,WRIST
RM01008,RIGHT,N/A,1,US CARPAL TUNNEL INJECTION RIGHT,US,WRIST
RM01009,BILATERAL,N/A,1,US CARPAL TUNNEL INJECTION BILATERAL,US,WRIST
RM01010,N/A,N/A,1,US KIDNEY TRANSPLANT DOPPLER,US,ABDOMEN
RM01011,LEFT,N/A,1,US KIDNEY TRANSPLANT DOPPLER LEFT,US,ABDOMEN
RM01012,RIGHT,N/A,1,US KIDNEY TRANSPLANT DOPPLER RIGHT,US,ABDOMEN
RM01013,BILATERAL,N/A,1,US KIDNEY TRANSPLANT DOPPLER BILATERAL,US,ABDOMEN
RM01014,N/A,N/A,1,US PELVIS GROIN PSEUDOANEURYSM,US,PELVIS
RM01015,LEFT,N/A,1,US PELVIS GROIN PSEUDOANEURYSM LEFT,US,PELVIS
RM01016,RIGHT,N/A,1,US PELVIS GROIN PSEUDOANEURYSM RIGHT,US,PELVIS
RM01017,BILATERAL,N/A,1,US PELVIS GROIN PSEUDOANEURYSM BILATERAL,US,PELVIS
RM01018,N/A,N/A,1,US PELVIS IN VITRO FERTILIZATION BASELINE,US,PELVIS
RM01019,N/A,N/A,1,US PROSTATE TRANSRECTAL VOLUME,US,PELVIS
RM01020,N/A,N/A,1,US RETROPERITONEUM KIDNEY VESSELS,US,ABDOMEN
RM01021,LEFT,N/A,1,US RETROPERITONEUM KIDNEY VESSELS LEFT,US,ABDOMEN
RM01022,RIGHT,N/A,1,US RETROPERITONEUM KIDNEY VESSELS RIGHT,US,ABDOMEN
RM01023,BILATERAL,N/A,1,US RETROPERITONEUM KIDNEY VESSELS BILATERAL,US,ABDOMEN
RM01024,LEFT,N/A,1,US BREAST NEEDLE LOC WITH SPECIMEN WITH GUIDANCE LEFT,US,BREAST
RM01025,RIGHT,N/A,1,US BREAST NEEDLE LOC WITH SPECIMEN WITH GUIDANCE RIGHT,US,BREAST
RM01026,BILATERAL,N/A,1,US CAROTID DOPPLER BILATERAL,US,NECK
RM01027,N/A,N/A,1,US CAROTID DOPPLER LIMITED/FOLLOW UP,US,NECK
RM01028,LEFT,N/A,1,US CAROTID DOPPLER LIMITED/FOLLOW UP LEFT,US,NECK
RM01029,RIGHT,N/A,1,US CAROTID DOPPLER LIMITED/FOLLOW UP RIGHT,US,NECK
RM01030,BILATERAL,N/A,1,US CAROTID DOPPLER LIMITED/FOLLOW UP BILATERAL,US,NECK
RM01031,N/A,N/A,1,US PELVIS BLADDER POST-VOID RESIDUAL,US,PELVIS
RM01032,N/A,N/A,1,US EXTREMITY MUSCULOSKELETAL,US,LOWER EXTREMITY
RM01033,LEFT,N/A,1,US EXTREMITY MUSCULOSKELETAL LEFT,US,LOWER EXTREMITY
RM01034,RIGHT,N/A,1,US EXTREMITY MUSCULOSKELETAL RIGHT,US,LOWER EXTREMITY
RM01035,BILATERAL,N/A,1,US EXTREMITY MUSCULOSKELETAL BILATERAL,US,LOWER EXTREMITY
RM01036,N/A,N/A,1,US EXTREMITY MUSCULOSKELETAL LIMITED,US,LOWER EXTREMITY
RM01037,LEFT,N/A,1,US EXTREMITY MUSCULOSKELETAL LIMITED LEFT,US,LOWER EXTREMITY
RM01038,RIGHT,N/A,1,US EXTREMITY MUSCULOSKELETAL LIMITED RIGHT,US,LOWER EXTREMITY
RM01039,BILATERAL,N/A,1,US EXTREMITY MUSCULOSKELETAL LIMITED BILATERAL,US,LOWER EXTREMITY
RM01040,LEFT,N/A,1,US BREAST BIOPSY FINE NEEDLE WITH GUIDANCE LEFT,US,BREAST
RM01041,RIGHT,N/A,1,US BREAST BIOPSY FINE NEEDLE WITH GUIDANCE RIGHT,US,BREAST
RM01042,N/A,N/A,1,US PENIS DOPPLER,US,PELVIS
RM01043,N/A,N/A,1,XA ABDOMINAL AORTA,XA,ABDOMEN/CHEST
RM01044,N/A,N/A,1,XA CHEST AORTA,XA,CHEST
RM01045,N/A,N/A,1,XA PELVIC ARTERIES,XA,PELVIS
RM01046,BILATERAL,N/A,1,XA CAROTID ARTERY BILATERAL,XA,NECK
RM01047,N/A,N/A,1,XA CAROTID ARTERY UNILATERAL,XA,NECK
RM01048,BILATERAL,N/A,1,XA CERVICOCEREBRAL ARTERIES BILATERAL,XA,NECK
RM01049,N/A,N/A,1,XA CERVICOCEREBRAL ARTERIES UNILATERAL,XA,NECK
RM01050,BILATERAL,N/A,1,XA CEREBRAL ARTERY BILATERAL,XA,HEAD
RM01051,N/A,N/A,1,XA CEREBRAL ARTERY UNILATERAL,XA,HEAD
RM01052,N/A,N/A,1,XA CEREBRAL SINUS,XA,HEAD/FACE
RM01053,N/A,N/A,1,XA HEPATIC VEINS,XA,ABDOMEN
RM01054,N/A,N/A,1,XA HEPATIC VEINS WITH HEMODYNAMIC EVALUATION,XA,ABDOMEN
RM01055,N/A,N/A,1,XA INFERIOR VENA CAVA,XA,ABDOMEN
RM01056,N/A,N/A,1,XA LUMBAR SPINE INTERCOSTAL ARTERY,XA,LUMBAR SPINE/CHEST
RM01057,N/A,N/A,1,XA INTERNAL MAMMARY ARTERY,XA,CHEST
RM01058,BILATERAL,N/A,1,XA ABDOMEN LYMPHANGIOGRAM BILATERAL,XA,ABDOMEN
RM01059,N/A,N/A,1,XA ABDOMEN LYMPHANGIOGRAM UNILATERAL,XA,ABDOMEN
RM01060,BILATERAL,N/A,1,XA EXTREMITY LYMPHANGIOGRAM BILATERAL,XA,LOWER EXTREMITY
RM01061,BILATERAL,N/A,1,XA LYMPHANGIOGRAM PEDAL BILATERAL,XA,LOWER EXTREMITY
RM01062,N/A,N/A,1,XA LYMPHANGIOGRAM PEDAL UNILATERAL,XA,LOWER EXTREMITY
RM01063,N/A,N/A,1,XA LYMPHANGIOGRAM CANNULATION THORACIC DUCT,XA,UNCLASSIFIED
RM01064,N/A,N/A,1,XA PORTAL VEINS,XA,ABDOMEN
RM01065,N/A,N/A,1,XA PORTAL VEINS WITH PRESSURES,XA,ABDOMEN
RM01066,BILATERAL,N/A,1,XA PULMONARY ARTERIES BILATERAL,XA,CHEST
RM01067,N/A,N/A,1,XA PULMONARY ARTERIES UNILATERAL,XA,CHEST
RM01068,BILATERAL,N/A,1,XA RENAL ARTERIES BILATERAL,XA,ABDOMEN
RM01069,N/A,N/A,1,XA RENAL ARTERIES UNILATERAL,XA,ABDOMEN
RM01070,BILATERAL,N/A,1,XA RENAL VEINS BILATERAL,XA,ABDOMEN
RM01071,N/A,N/A,1,XA RENAL VEINS UNILATERAL,XA,ABDOMEN
RM01072,N/A,N/A,1,XA SPLENOPORTOGRAM,XA,ABDOMEN
RM01073,N/A,N/A,1,XA SUPERIOR VENA CAVA,XA,CHEST
RM01074,BILATERAL,N/A,1,XA EXTREMITY VEINS BILATERAL,XA,LOWER EXTREMITY
RM01075,N/A,N/A,1,XA EXTREMITY VEINS UNILATERAL,XA,LOWER EXTREMITY
RM01076,BILATERAL,N/A,1,XA VERTEBRAL ARTERIES BILATERAL,XA,NECK/LUMBAR SPINE
RM01077,N/A,N/A,1,XA VERTEBRAL ARTERIES UNILATERAL,XA,NECK/LUMBAR SPINE
